,ARIA_AUTOCOMPLETE,VALUE,TEXT,CLASS
0.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
1.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
2.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
3.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
4.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
5.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
6.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
7.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
8.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
9.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
10.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
11.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(50.0), np.float64(9.0))",
12.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
13.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
14.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(3.0), np.float64(10.0))",
15.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
16.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(12.0), np.float64(19.0))",
17.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(13.0), np.float64(20.0))",
18.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
19.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
20.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(13.0), np.float64(20.0))",
21.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
22.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(13.0), np.float64(20.0))",
23.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(43.0), np.float64(49.0))","(np.float64(36.0), np.float64(27.0))"
24.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
25.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,"(np.float64(37.0), np.float64(36.0))"
26.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(20.0), np.float64(51.0))","(np.float64(18.0), np.float64(37.0))"
27.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
28.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,"(np.float64(23.0), np.float64(38.0))"
29.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(22.0), np.float64(26.0))","(np.float64(27.0), np.float64(39.0))"
30.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))","(np.float64(27.0), np.float64(28.0))",
31.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
32.0,"(np.float64(nan), np.float64(nan))","(np.float64(nan), np.float64(nan))",,
